metric,pattern,severity_S,variante,n_pairs,median_diff_log10_vs_base,wilcoxon_stat,p_value,p_value_bh
log10_kappa_despues,local,0,Ruiz+Cols,20,0.17631376342134342,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,local,0,Flat,20,-0.05519322198712495,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,local,3,SA-Aug,20,-5.275043054929853,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,local,3,SA-Mat,20,-4.6041665066694835,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,local,3,Ruiz,20,-4.777008096372736,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,local,3,Ruiz+Cols,20,-4.777008096372736,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,local,3,Flat,20,-5.275043054929853,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,local,6,SA-Aug,20,-11.177999524540965,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,local,6,SA-Mat,20,-10.614171652736058,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,local,6,Ruiz,20,-10.574793593197342,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,local,6,Ruiz+Cols,20,-10.574793593197342,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,local,6,Flat,20,-11.177999524540965,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,coupling,0,SA-Aug,20,-0.05519322198712495,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,coupling,0,SA-Mat,20,0.2629874497163016,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,coupling,0,Ruiz,20,0.17631376342134342,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,coupling,0,Ruiz+Cols,20,0.17631376342134342,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,coupling,0,Flat,20,-0.05519322198712495,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,coupling,3,SA-Aug,20,-2.7826203404656966,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,coupling,3,SA-Mat,20,-2.434811870512294,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,coupling,3,Ruiz,20,-2.573492614113531,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,coupling,3,Ruiz+Cols,20,-2.573492614113531,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,coupling,3,Flat,20,-2.7826203404656966,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,coupling,6,SA-Aug,20,-5.645951811899955,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,coupling,6,SA-Mat,20,-5.314600048920182,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,coupling,6,Ruiz,20,-5.242299665733247,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,coupling,6,Ruiz+Cols,20,-5.242299665733247,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,coupling,6,Flat,20,-5.645951811899955,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,mixed,0,SA-Aug,20,-0.05519322198712495,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,mixed,0,SA-Mat,20,0.2629874497163016,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,mixed,0,Ruiz,20,0.17631376342134342,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,mixed,0,Ruiz+Cols,20,0.17631376342134342,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,mixed,0,Flat,20,-0.05519322198712495,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,mixed,3,SA-Aug,20,-5.206727733531003,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,mixed,3,SA-Mat,20,-4.647628100730522,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,mixed,3,Ruiz,20,-4.825236401298953,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,mixed,3,Ruiz+Cols,20,-4.825236401298953,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,mixed,3,Flat,20,-5.206727733531003,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,mixed,6,SA-Aug,20,-11.140253010422159,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,mixed,6,SA-Mat,20,-10.628048288337599,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,mixed,6,Ruiz,20,-10.532039973387242,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,mixed,6,Ruiz+Cols,20,-10.532039973387242,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_kappa_despues,mixed,6,Flat,20,-11.140253010422159,0.0,1.9073486328125e-06,1.9073486328125e-06
log10_rho_despues,none,0,SA-Aug,20,0.08334778140226012,6.0,2.6702880859375e-05,5.572775135869565e-05
log10_rho_despues,none,0,SA-Mat,20,0.022008980883268525,46.0,0.026641845703125,0.029063831676136364
log10_rho_despues,none,0,Ruiz,20,0.12296003773285191,27.0,0.0023250579833984375,0.0030162914379222973
log10_rho_despues,none,0,Ruiz+Cols,20,0.12296003773285191,27.0,0.0023250579833984375,0.0030162914379222973
log10_rho_despues,none,0,Flat,0,,,,
log10_rho_despues,none,3,SA-Aug,20,0.08334778140226012,6.0,2.6702880859375e-05,5.572775135869565e-05
log10_rho_despues,none,3,SA-Mat,20,0.022008980883268525,46.0,0.026641845703125,0.029063831676136364
log10_rho_despues,none,3,Ruiz,20,0.12296003773285191,27.0,0.0023250579833984375,0.0030162914379222973
log10_rho_despues,none,3,Ruiz+Cols,20,0.12296003773285191,27.0,0.0023250579833984375,0.0030162914379222973
log10_rho_despues,none,3,Flat,0,,,,
log10_rho_despues,none,6,SA-Aug,20,0.08334778140226012,6.0,2.6702880859375e-05,5.572775135869565e-05
log10_rho_despues,none,6,SA-Mat,20,0.022008980883268525,46.0,0.026641845703125,0.029063831676136364
log10_rho_despues,none,6,Ruiz,20,0.12296003773285191,27.0,0.0023250579833984375,0.0030162914379222973
log10_rho_despues,none,6,Ruiz+Cols,20,0.12296003773285191,27.0,0.0023250579833984375,0.0030162914379222973
log10_rho_despues,none,6,Flat,0,,,,
log10_rho_despues,local,0,SA-Aug,20,0.08334778140226012,6.0,2.6702880859375e-05,5.572775135869565e-05
log10_rho_despues,local,0,SA-Mat,20,0.022008980883268525,46.0,0.026641845703125,0.029063831676136364
log10_rho_despues,local,0,Ruiz,20,0.12296003773285191,27.0,0.0023250579833984375,0.0030162914379222973
log10_rho_despues,local,0,Ruiz+Cols,20,0.12296003773285191,27.0,0.0023250579833984375,0.0030162914379222973
log10_rho_despues,local,0,Flat,0,,,,
log10_rho_despues,local,3,SA-Aug,20,-0.10071527528604396,33.0,0.005580902099609375,0.007049560546875
log10_rho_despues,local,3,SA-Mat,20,-0.1410810127738239,6.0,2.6702880859375e-05,5.572775135869565e-05
log10_rho_despues,local,3,Ruiz,20,-0.029531207414213334,85.0,0.47490501403808594,0.48500937603889627
log10_rho_despues,local,3,Ruiz+Cols,20,-0.029531207414213334,85.0,0.47490501403808594,0.48500937603889627
log10_rho_despues,local,3,Flat,0,,,,
log10_rho_despues,local,6,SA-Aug,20,0.06835200642612532,54.0,0.058258056640625,0.06214192708333333
log10_rho_despues,local,6,SA-Mat,20,-0.049261475706209534,97.0,0.7841262817382812,0.7841262817382812
log10_rho_despues,local,6,Ruiz,20,0.2192148666835638,15.0,0.0002613067626953125,0.000501708984375
log10_rho_despues,local,6,Ruiz+Cols,20,0.2192148666835638,15.0,0.0002613067626953125,0.000501708984375
log10_rho_despues,local,6,Flat,0,,,,
log10_rho_despues,coupling,0,SA-Aug,20,0.08334778140226012,6.0,2.6702880859375e-05,5.572775135869565e-05
log10_rho_despues,coupling,0,SA-Mat,20,0.022008980883268525,46.0,0.026641845703125,0.029063831676136364
log10_rho_despues,coupling,0,Ruiz,20,0.12296003773285191,27.0,0.0023250579833984375,0.0030162914379222973
log10_rho_despues,coupling,0,Ruiz+Cols,20,0.12296003773285191,27.0,0.0023250579833984375,0.0030162914379222973
log10_rho_despues,coupling,0,Flat,0,,,,
log10_rho_despues,coupling,3,SA-Aug,20,-1.3707950801593576,3.0,9.5367431640625e-06,4.161487926136363e-05
log10_rho_despues,coupling,3,SA-Mat,20,-1.4297823788035178,1.0,3.814697265625e-06,3.0517578125e-05
log10_rho_despues,coupling,3,Ruiz,20,-1.323610237935472,2.0,5.7220458984375e-06,3.0517578125e-05
log10_rho_despues,coupling,3,Ruiz+Cols,20,-1.323610237935472,2.0,5.7220458984375e-06,3.0517578125e-05
log10_rho_despues,coupling,3,Flat,0,,,,
log10_rho_despues,coupling,6,SA-Aug,20,-2.8080489646717153,2.0,5.7220458984375e-06,3.0517578125e-05
log10_rho_despues,coupling,6,SA-Mat,20,-2.8568003445997157,2.0,5.7220458984375e-06,3.0517578125e-05
log10_rho_despues,coupling,6,Ruiz,20,-2.858398679277914,2.0,5.7220458984375e-06,3.0517578125e-05
log10_rho_despues,coupling,6,Ruiz+Cols,20,-2.858398679277914,2.0,5.7220458984375e-06,3.0517578125e-05
log10_rho_despues,coupling,6,Flat,0,,,,
log10_rho_despues,mixed,0,SA-Aug,20,0.08334778140226012,6.0,2.6702880859375e-05,5.572775135869565e-05
log10_rho_despues,mixed,0,SA-Mat,20,0.022008980883268525,46.0,0.026641845703125,0.029063831676136364
log10_rho_despues,mixed,0,Ruiz,20,0.12296003773285191,27.0,0.0023250579833984375,0.0030162914379222973
log10_rho_despues,mixed,0,Ruiz+Cols,20,0.12296003773285191,27.0,0.0023250579833984375,0.0030162914379222973
log10_rho_despues,mixed,0,Flat,0,,,,
log10_rho_despues,mixed,3,SA-Aug,20,-1.5806032150528326,4.0,1.33514404296875e-05,4.2724609375e-05
log10_rho_despues,mixed,3,SA-Mat,20,-1.7282123129763034,3.0,9.5367431640625e-06,4.161487926136363e-05
log10_rho_despues,mixed,3,Ruiz,20,-1.5620903247429365,2.0,5.7220458984375e-06,3.0517578125e-05
log10_rho_despues,mixed,3,Ruiz+Cols,20,-1.5620903247429365,2.0,5.7220458984375e-06,3.0517578125e-05
log10_rho_despues,mixed,3,Flat,0,,,,
log10_rho_despues,mixed,6,SA-Aug,20,-3.196828991326218,4.0,1.33514404296875e-05,4.2724609375e-05
log10_rho_despues,mixed,6,SA-Mat,20,-3.2808655288171567,5.0,1.9073486328125e-05,5.572775135869565e-05
log10_rho_despues,mixed,6,Ruiz,20,-2.956547340524634,4.0,1.33514404296875e-05,4.2724609375e-05
log10_rho_despues,mixed,6,Ruiz+Cols,20,-2.956547340524634,4.0,1.33514404296875e-05,4.2724609375e-05
log10_rho_despues,mixed,6,Flat,0,,,,
