pattern,severity_S,variante,n,n_feasible,n_status_ok,median_kappa_antes,median_kappa_despues,median_reduction_factor,median_log10_reduction,median_rho_antes,median_rho_despues,median_wall_time_s,median_tiempo_solver_s,median_max_original_row_violation,median_max_integrality_violation
mixed,0,SA-Aug,20,20,20,1343.455,12564.7,0.10537802451267077,-0.9772516795314057,0.3277905,3.517675,0.00680479,0.003693995,1.13687e-13,0.0
mixed,0,SA-Mat,20,20,20,1343.455,2490.865,0.5459124221194807,-0.2629874497163016,0.3277905,0.20082,0.006490495,0.00336293,8.52652e-14,0.0
mixed,0,Ruiz,20,20,20,1343.455,11906.900000000001,0.11267988455484382,-0.9481540826533104,0.3277905,3.19476,0.00773566,0.003549905,8.52652e-14,0.0
mixed,0,Ruiz+Cols,20,20,20,1343.455,11906.900000000001,0.11267988455484382,-0.9481540826533104,0.3277905,3.19476,0.00793106,0.003562005,8.52652e-14,0.0
mixed,0,Flat,20,20,20,1343.455,1093.8400000000001,1.135607159503612,0.05519322198712495,0.3277905,0.0,0.0060097150000000005,0.00347962,1.13687e-13,0.0
mixed,3,Base,20,20,20,206210500.0,206210500.0,1.0,0.0,11.147749999999998,11.147749999999998,0.007444925,0.004505805,1.2789785e-13,0.0
mixed,3,SA-Aug,20,20,20,206210500.0,49970.25,3554.2519618073097,3.5506593292081168,11.147749999999998,1.1036299999999999,0.00784025,0.004442595000000001,3.63798e-12,0.0
mixed,3,SA-Mat,20,20,20,206210500.0,4683.205,43841.527606191754,4.640724540574252,11.147749999999998,0.213405,0.00833385,0.004917495,2.2737375e-12,0.0
mixed,3,Ruiz,20,20,20,206210500.0,48649.6,3941.2542199488253,3.594242005946031,11.147749999999998,1.1448550000000002,0.008855499999999999,0.00443069,3.63798e-12,0.0
mixed,3,Ruiz+Cols,20,20,20,206210500.0,48649.6,3941.2542199488253,3.594242005946031,11.147749999999998,1.1448550000000002,0.00981634,0.00454677,3.63798e-12,0.0
mixed,3,Flat,20,20,20,206210500.0,1182.795,161014.9678585203,5.206727733531003,11.147749999999998,0.0,0.0068600350000000004,0.00425158,4.547475e-12,0.0
mixed,6,Base,20,20,20,151910500000000.0,151910500000000.0,1.0,0.0,340.952,340.952,0.007224039999999999,0.004507489999999999,2.95585975e-11,0.0
mixed,6,SA-Aug,20,20,20,151910500000000.0,6010155.0,107510659.57877378,7.757016788408698,340.952,1.227045,0.0076982000000000005,0.0043279500000000005,5.82077e-11,0.0
mixed,6,SA-Mat,20,20,20,151910500000000.0,4020.96,41132952137.18163,10.614171652736058,340.952,0.207324,0.007217925,0.0039764399999999995,5.82077e-10,0.0
mixed,6,Ruiz,20,20,20,151910500000000.0,6010155.0,109713053.1008895,7.808542341654699,340.952,1.229465,0.008404285000000001,0.004330495,9.31323e-10,0.0
mixed,6,Ruiz+Cols,20,20,20,151910500000000.0,6010155.0,109713053.1008895,7.808542341654699,340.952,1.229465,0.00831828,0.0040660950000000005,9.31323e-10,0.0
mixed,6,Flat,20,20,20,151910500000000.0,1218.01,138156861065.36234,11.140253010422159,340.952,0.0,0.00626408,0.003776285,3.49246e-10,0.0
